GEOID,under_18,over_65,median_age,male_over65,female_over65,white,black,asian,hispanic,male,female,less_than_9th,bach,high_school,poverty,median_income,uninsured,CountyFIPS,StateAbbr,per_arthritis,per_HighBP,per_cancer,per_asthma,per_heartDisease,per_copd,per_smoking,per_depression,per_diabetes,per_highChol,per_obesity,per_stroke,Food_Environment_Index,primCare100k,per_rural
0500000US48447,20.9,24.5,42.7,53.8,46.2,93.2,0,0.5,7.8,52.7,47.3,5.1,25,69.2,14,58864,24.4,48447,TX,32.7,43.1,11,10,9.7,9.7,14.9,22.9,15.4,42,35.5,4.9,3.8,0.000672495,100
0500000US48449,28.6,14.7,34.7,45,55,56.7,9.5,1.2,44.4,50.1,49.9,13.1,15.4,42.2,17.3,59220,21.2,48449,TX,25.7,37.8,6.8,10.2,7.5,8.5,16.5,22.5,15.6,37.4,38.6,4.2,6.5,0.000364454,50.55668955
0500000US48451,23.9,16.5,35.8,45.9,54.1,69,3.8,1.4,40.1,50,50,6,25.1,30.4,11.7,66254,14.5,48451,TX,24.5,34.8,7.2,9.6,6.4,6.5,12.8,23,12.9,35.9,36.8,3.4,7,0.000699942,15.64087676
0500000US48453,20.5,10.7,35.5,45.8,54.2,59.8,8.2,7.6,32.5,51,49,5,55.5,26.2,11,97169,12.2,48453,TX,17.6,26.6,5.6,9.2,4.1,4,9.5,22.1,9,32.5,30.4,2.2,7.7,0.000855054,5.46352217
0500000US48455,19.6,27.1,49.8,48.3,51.7,80,9.1,0.1,10.7,49.2,50.8,3.8,15.9,50.8,16.1,51663,15.7,48455,TX,33.2,43.9,10.2,10.7,9.5,10.5,16.8,23.7,16.4,41.7,37.7,5,6.1,0.000134382,77.23688721
0500000US48457,19.5,22.1,42.5,47.1,52.9,80.6,10.6,0.6,8,54.2,45.8,6.2,12,49.5,19.6,50647,17.1,48457,TX,29.9,42,8.8,10.7,9,10.7,19.3,24.3,15.3,40.1,38.7,4.8,5.2,0.000185262,78.13103005
0500000US48459,24,18.3,40.3,46.4,53.6,81.4,7.2,0.4,10.1,49.8,50.2,4.8,17.5,31.8,13.3,62794,13.2,48459,TX,29,38.8,8.6,10.8,7.7,9,16.6,24.9,13.9,38.7,37.6,4.2,7.1,0.000308305,79.29990587
0500000US48461,22.5,18.6,41.1,48.1,51.9,43.3,0.9,1.6,56.2,50.9,49.1,10,8.8,53.8,17.1,52321,14.8,48461,TX,25.4,37.9,6.5,9.8,7.7,8,16.6,21.9,16.6,37.6,40.9,4.2,7.9,0.000552029,100
0500000US48463,26.2,16.4,34.6,44.8,55.2,67.2,1.4,1.7,70.7,50.3,49.7,11.4,20.2,27.4,21.9,57849,20.1,48463,TX,23.2,35.5,6.2,9.1,7,6.6,13.1,20.6,15.7,36.5,40.1,3.7,5.1,0.000299155,31.38420754
0500000US48465,28.1,13.9,32.3,45.1,54.9,62.2,1.4,0.6,81,51.7,48.3,14.5,21.3,42.9,18.3,59673,19.4,48465,TX,20.5,33,4.9,8.8,6.4,5.6,13,19.5,15.6,35.3,37.8,3.4,5.6,0.000346741,10.15773645
