county_fips,per_diabet,pred_outcome
20159,11.9,11.522061824798584
38049,11.9,11.034566879272461
20103,10.8,9.488272190093994
13079,15.5,14.871635437011719
20141,14.0,13.121572494506836
20163,12.3,12.120728015899658
26087,11.9,11.585887432098389
38041,11.7,13.072838306427002
18179,12.7,11.944557189941406
19087,12.5,11.135159015655518
22091,19.8,19.326208114624023
18097,13.0,11.00611162185669
18159,13.5,11.599372386932373
17141,12.2,10.387584686279297
20161,7.2,8.01155710220337
20089,15.8,13.458621978759766
20143,12.2,11.515571594238281
20179,11.8,12.183297157287598
13193,21.1,19.765801429748535
29015,16.7,15.260126113891602
13249,15.1,13.927409648895264
22049,17.7,16.329123497009277
51720,14.9,14.073592185974121
29067,15.3,16.032727241516113
51710,12.7,11.538368225097656
08001,9.7,9.591076850891113
51740,15.8,15.05287790298462
12023,15.1,15.905707836151123
54019,17.9,14.967133522033691
28099,16.5,16.415325164794922
12053,14.9,15.431373119354248
53069,14.7,14.408792972564697
40119,9.8,10.86977481842041
27139,9.4,8.435905456542969
20145,12.7,11.680965423583984
19155,11.7,10.969126224517822
27089,12.1,11.22496223449707
47131,16.2,14.686348915100098
13227,13.6,12.503646850585938
18095,14.0,12.967404842376709
19141,12.4,11.43596076965332
31143,12.0,11.591352462768555
48035,14.3,14.207094669342041
51167,15.7,15.720292091369629
35028,8.0,7.892483472824097
20047,14.3,13.020692825317383
06075,10.2,9.56931734085083
20075,11.8,12.451262950897217
28003,15.0,14.182982921600342
47115,16.2,14.504912376403809
05095,19.1,18.91926383972168
17039,12.2,11.400331020355225
21085,,14.216084003448486
29205,14.9,13.144346237182617
48347,13.2,13.604415893554688
29181,15.6,16.03374147415161
18147,13.4,12.255409717559814
20173,12.0,11.22439193725586
28005,20.6,19.295141220092773
28033,12.4,11.585221767425537
28085,15.7,15.44544792175293
01007,16.2,14.238108158111572
34019,9.2,8.972607135772705
54095,17.6,14.7411470413208
18031,12.4,11.721384525299072
27013,9.4,8.662614345550537
38061,12.8,12.994812488555908
49007,12.8,12.369991302490234
31009,13.3,12.948103904724121
18087,12.4,11.760681629180908
19015,11.2,9.429073810577393
19099,11.9,10.802802562713623
11001,7.8,9.518802165985107
17195,13.0,12.002102851867676
45003,13.9,13.310144901275635
51043,12.2,11.145212173461914
18157,10.0,9.085184574127197
19081,12.6,10.967156410217285
31101,13.2,12.507535457611084
48171,13.6,13.996189594268799
55015,10.3,8.436537742614746
29051,11.0,10.816490173339844
28155,13.7,14.228157043457031
36037,10.7,11.597183227539062
49039,10.4,10.272987842559814
05127,14.8,14.791107654571533
51135,16.7,15.70555830001831
13123,15.2,14.762960433959961
19069,14.1,12.036191940307617
19123,11.7,11.315969467163086
47079,16.9,15.326736450195312
17115,13.3,12.906409740447998
17151,14.9,14.05549955368042
17155,12.1,11.307801246643066
46043,13.6,12.59503173828125
40145,11.9,11.992837905883789
48069,15.5,13.601885795593262
29073,13.5,12.517893314361572
42065,,14.295912265777588
27105,13.5,12.343502521514893
38031,11.8,10.979837417602539
